,luhn_algorithm summary
1333,"KA has also threatened three-time women's short-course champion Edith Masai with a similar ban if reports that she feigned injury to avoid running at the cross country world championships are true.Chepkemei hit by big ban

Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.

Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March.But the ban will prevent the two-time world half-marathon silver medallist from challenging Radcliffe at this year's London event in April.Masai missed the national trials in early February, but was included in the provisional team on the proviso that she ran in a regional competition.The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year.

Athletics Kenya (AK) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu."
1334,"Holmes secures comeback victory

Britain's Kelly Holmes marked her first appearance on home soil since winning double Olympic gold with 1500m victory at the Norwich Union International.

The Olympic 800m and 1500m champion's time was inside the qualifying mark for the European Indoor Championships in Madrid in March.Holmes ran a tactically perfect race to finish clear of France's Hind Dehiba and Russia's Svetlana Cherkasova.But the 34-year-old would not reveal whether she intended to run or not, having previously indicated she would leave a decision until after the Birmingham Grand Prix on 18 February.
Holmes hit the front just before the bell in front of a sell-out crowd in Glasgow and cruised to victory in a time of four minutes 14.74 seconds.""The reception I've had since the Olympics has been amazing and that's why I wanted to keep running this year, because I get a buzz from the crowd.""I just had to relax and use my racing knowledge,"" said Holmes."
1335,"But Kenteris' lawyer Gregory Ioannidis told BBC Sport earlier this week he was confident the sprinters would be cleared of the charges of failing to give information on their location and refusing to submit to testing.The five-member tribunal, assembled by the Hellenic Association of Amateur Athletics, is also examining allegations that Kenteris and Thanou avoided tests in Tel Aviv and Chicago before the Games.Greek pair attend drugs hearing

Greek sprinters Kostas Kenteris and Katerina Thanou have appeared before an independent tribunal which will decide if their bans should stand.

Yiannis Papadoyiannakis, who was head of the Greek Olympic team at the Athens Games last year, also testified at the tribunal, along with other Greek sports officials and athletes.""There have been certain breaches in the correct application of the rules on behalf of the sporting authorities and their officials, and these procedural breaches have also violated my client's rights.They were given provisional suspensions by athletics' ruling body the IAAF in December for failing to take drugs tests before the Athens Olympics.In imposing two-year suspensions on the duo on 22 December, the IAAF described their explanations for missing the tests as ""unacceptable""."
1336,"Chepkemei, who won the six kilometre event three years ago when it was staged in Newcastle, endured an epic battle with Radcliffe in the Big Apple until the Briton outsprinted her in the final 400m. Tirunesh Dibaba of Ethiopia will defend the title she won last year in Tyneside - before the race was moved north of the border.Recently-crowned European cross country champion Briton Hayley Yelling also competes in Edinburgh on 15 January, as does in-form Scot Kathy Butler.
Chepkemei joins Edinburgh line-up

Susan Chepkemei has decided she is fit enough to run in next month's Great Edinburgh International Cross Country.

The Kenyan was initially unsure if she would have recovered from her gruelling tussle with Paula Radcliffe in the New York Marathon in time to compete.Race director Matthew Turnbull said: ""Susan will add even more strength in depth to the world-class line up.""But she has declared herself up to the task and joins a field headed by World cross country champion Benita Johnson."
1337,"El Guerrouj achieved a lifetime ambition last August when he clinched his first Olympic titles over 1500m and 5,000m. But the four-time world 1500m champion is still hungry for more success before calling time on his career.El Guerrouj targets cross country

Double Olympic champion Hicham El Guerrouj is set to make a rare appearance at the World Cross Country Championships in France.

""I haven't quite decided what events I will compete in prior to London but the World Cross Country is an event which is also special to me and is a definite possibility,"" said the two-time champion.
El Guerrouj could meet Bekele in March as the Ethiopian is the defending world cross country champion over both the long and short courses.And he is aiming to break 10,000m Olympic champion Kenenisa Bekele's 5,000m and 10,000m world records.

""


 - Britain's Paula Radcliffe has also not ruled out competing in the World Cross Country Championships.""The return to training was very difficult because I accepted a lot of invitations these past few months,"" said El Guerrouj."
1338,"Collins appeals against drugs ban

Sprinter Michelle Collins has lodged an appeal against her eight-year doping ban with the North American Court of Arbitration for Sport (CAS).

Collins was suspended by the US Anti-Doping Agency based on patterns observed in her blood and urine tests as well as evidence in the Balco investigation.The 33-year-old received the ban last month as a result of her connection to the federal inquiry into the Balco doping scandal.The company has been accused of distributing illegal performance-enhancing drugs to elite athletes.
The San Francisco-based Balco laboratory is at the centre of the scandal which has rocked the sport.As well as being hit with the ban, Collins was stripped of her 2003 world and US indoor 200m titles.She is the first athlete to be banned without a positive drugs test or an admission of drugs use."
1339,"Holmes feted with further honour

Double Olympic champion Kelly Holmes has been voted European Athletics (EAA) woman athlete of 2004 in the governing body's annual poll.

Her gutsy victory in the 800m also earned her the International Association of Athletics Federations' award for the best women's performance in the world for 2004.The Briton, made a dame in the New Year Honours List for taking 800m and 1,500m gold, won vital votes from the public, press and EAA member federations.And she scooped two awards at the British Athletics Writers' Association annual dinner in October.
Swedish triple jumper Christian Olsson was voted male athlete of the year.The accolade is the latest in a long list of awards that Holmes has received since her success in Athens.In addition to becoming a dame, she was also named the BBC Sports Personality of the Year in December."
1340,"The Newport-based athlete and team-mates Jason Gardener, Marlon Devonish and Mark Lewis-Francis were rewarded with MBEs in the New Year Honours List.Campbell's relay triumph made up for his disappointing displays in the individual 100m and 200m events in Athens, when he failed to reach the finals.Campbell to extend sprint career

Darren Campbell has set his sights on running quicker than ever after deciding not to retire from sprinting.

He was criticised at the time by former Olympic champion Michael Johnson, who cast doubt on Campbell's injury claims.The 31-year-old, who won Olympic 200m silver in Sydney in 2000, said during the Games that a hamstring injury had stopped him from running at his best.

Campbell was part of the British quartet who shocked the Americans to win relay gold in Athens in August.

Campbell set his 100m personal best of 10.04secs when he won the European title in Budapest in 1998."
1341,"Isinbayeva heads for Birmingham

Olympic pole vault champion Yelena Isinbayeva has confirmed she will take part in the 2005 Norwich Union Grand Prix in Birmingham on 18 February.

The pair had a thrilling battle in Athens which ended with Isinbayeva finally jumping a world record of 4.91m to claim the gold medal.The organisers are hoping that Isinbayeva's main rival, fellow Russian Svetlana Feofanova, will also take part in the event.""As Olympic champion there will be more attention on me this year, but hopefully I can respond with another record in Birmingham.""Isinbayeva, 22, has set 10 world records in the pole vault, three of which have come on British soil.
Kelly Holmes and Carolina Kluft are among other Athens winners competing.I always seem to break records there,"" said Isinbayeva."
1342,"Once the track and field action began in Athens, a familiar pattern of underachievement emerged although Alistair Cragg's performance in being the only athlete from a European nation to qualify for the 5,000m final did offer hope for the future.Lombard's shattering of Mark Carroll's national 10,000m record in April had already set tongues wagging but even the most cynical of observers, were surprised when he was rumbled after an Irish Sports Council sting operation.At the start of the year, several Northern Ireland athletes had genuine hopes of qualifying for the Games but come August, an out-of-form and injured Paul Brizzel was the lone standard bearer for the province.The injury-plagued Turnbull gamely travelled round Europe in search of the 1500m qualifying mark but 3:39 was the best he could achieve, after missing several months training during the previous winter.Amazingly, she was back in action a couple of weeks later when beating a world-class field at the Flora Lite 5K road race in London and while her major championship days may be over, it's unlikely that we have seen the last of her in competition.Donnelly and his Annadale Striders team-mates later suffered tragedy when their friend and clubman Andy Campbell was found dead at his home on 18 December.Our beloved Sonia scraped into the women's 5K final as a fastest loser and for a couple of days, the country attempted to delude itself into believing that she might be in the medal shake-up."
1343,"Sprinter Walker quits athletics

Former European 200m champion Dougie Walker is to retire from athletics after a series of six operations left him struggling for fitness.

Walker had hoped to compete in the New Year Sprint which is staged at Musselburgh Racecourse near Edinburgh on Tuesday and Wednesday.The 31-year-old Scot was suspended for two years in 1998 after testing positive for nandrolone.He told the Herald newspaper: ""I'm not in great shape, after missing about a month of training.""I still enjoy training, but feel it's time to move on, and concentrate on a career.""I missed a big chunk of speed work over about three weeks, and then another week working in America.""If I'd had a half-decent mark it might have motivated me more, but I won't be racing."
1344,"Bekele sets sights on world mark

Olympic 10,000m champion Kenenisa Bekele is determined to add the world indoor two mile record at February's Norwich Union Grand Prix in Birmingham.

Compatriots Mulugeta Wondimu, Abiyote Abate and Markos Geneti, the world indoor bronze medallist over 3000m, will race against Bekele on 18 February.The 22-year-old will again be chasing a record held by his compatriot and mentor Haile Gebrselassie, who set the mark at the same meeting in 2003.Britain's 800m and 1500m champion Kelly Holmes is taking part in the 1000m. Swedish heptathlon gold medallistWhile men's 4x100m relay gold medallists Jason Gardener and Mark Lewis-Francis will go head-to-head in the 60m.
The Ethiopian broke the world indoor 5,000m record on his debut at the meeting last year.And Bekele is no stranger to overhauling world marks at the National Indoor Arena."
1345,"Kenteris, the 2000 Olympic 200m champion, and Thanou, the women's 100m silver medallist from the same Games in Sydney, also face a criminal hearing in Greece over the missed tests.Greek sprinters suspended by IAAF

Greek sprinters Kostas Kenteris and Katerina Thanou have been suspended after failing to take drugs tests before the Athens Olympics.

Wednesday's statement said the Greek Federation (SEGAS) would convene a disciplinary hearing for the trio to determine whether there had been doping violations.

They failed to appear to give samples in Chicago and Tel Aviv shortly before the Athens Games and again in Athens on 12 August, the eve of the opening ceremony.Greek prosecutors have also charged them with faking a midnight motorcycle crash which led to them spending four days in hospital.Athletics' ruling body the IAAF said explanations from the pair and their former coach as to why they missed the tests were ""unacceptable"".""There will be a final right of appeal from the decision of the Greek Federation to the Court of Arbitration for Sport,"" the IAAF said."
1346,"I think the four of them - Jason Gardener, Darren Campbell, Marlon Devonish and Mark Lewis-Francis - knew deep down that it was their best chance of a medal.One of my favourite Olympic moments was Kelly's success in the 800m.

Winning that race was the key to her success because if she won that then the 1500m would be a bit of a formality.And that's where things begin to look even gloomier for British athletics as we did not win any medals at the world junior championships in Italy.There were a set of circumstances around Athens that conspired to produce a very dramatic ending which I think has been greatly misunderstood.As regards the case against Greek sprinters Kostas Kenteris and Katerina Thanou, well suspicions have been hanging over Kenteris for a while.It was also a real delight for all athletics fans because, to use one of my favourite words, Paula showed real ""bouncebackability"".I tell you what I really enjoyed this year, Benita Johnson winning the world cross country championships back in March."
1347,"""The CAS panel's decision confirms that those who violate the rules will be sanctioned as part of USADA's ongoing efforts to protect the rights of the overwhelming majority of US athletes that compete drug-free,"" said Madden.Collins banned in landmark case

Sprinter Michelle Collins has received an eight-year ban for doping offences after a hearing at the North American Court of Arbitration for Sport (CAS).

""The USADA has proved, beyond a reasonable doubt, that Collins took EPO, the testosterone/epitestosterone cream and THG,"" said a CAS statement.The San Francisco-based Balco laboratory faces steroid distribution and money laundering charges.The USADA has built its cases on verbal evidence given to the federal investigation into Balco rather than test results.The sprinter has consistently protested her innocence but the CAS has upheld USADA's findings.So far a total of 13 athletes have been sanctioned for violations involving drugs associated with the Balco doping scandal."
1348,"Any decision on the medals would be taken by the IOC's executive board and could hinge on interpretation of a rule stating that Olympic decisions can only be challenged within three years of the Games closing.Jones doping probe begins

An investigation into doping claims against Marion Jones has been opened by the International Olympic Committee.

The Sydney Olympics ended more than four years ago, but World Anti-Doping Agency chief Dick Pound said the rule may not apply because the allegations are only coming out now.Jones, who says she is innocent, could lose all her Olympic medals after Conte said he gave her performance-enhancing drugs before the Sydney Olympics.IOC president Jacques Rogge has set up a disciplinary body to look into claims by Victor Conte, of Balco Laboratories.""Conte is someone who is under federal indictment and has a record of issuing contradictory, inconsistent statements.""Victor Conte's allegations are not true and the truth will be revealed for the world to see as the legal process moves forward,"" she said."
1349,"Johnson accuses British sprinters

Former Olympic champion Michael Johnson has accused Britain's top sprinters of lacking pride and ambition.

Speaking at an elite coaches' conference in Birmingham, Johnson also argued that although there has been more investment in the sport in Britain, it had not necessarily reaped the rewards.""At the moment, the biggest factor on the mind of British sprinters is to be number one in Britain,"" the world 200m and 400m record holder told Five Live.The American had cast doubt on Campbell's claims he had torn a hamstring in the wake of his failure to reach the Olympic 100m and 200m finals.

Johnson was involved in a verbal spat with Britain's Darren Campbell earlier this year.""Those who aren't funded might be hungrier and more motivated because their road to success is a lot more difficult and challenging.And the American remains highly critical of aspects of British sprinting."
1350,"Now Paula will take part in the Run London 10km race in London at the end of the year, have a well-earned rest over Christmas and go into next year with a lot of optimism.
A win in the New York marathon doesn't make up for the disappointment of Athens in any shape or form, but it will offer hope and reassurance for next year.The reasons she was forced to pull out in Athens - the niggling injuries, her lack of energy and the oppressive conditions - weren't at play here.And a lot of people were wondering what would happen if Paula was forced to drop out of this race, as she did in the marathon and 10,000m in Athens.If Paula's last experience of the year had been Athens, it would have been very difficult to look forward with any optimism.I was speaking to Paula in the lead-up to this race and she said that in many ways she was facing a no-win situation.Most important of all, despite all the hype in the media ahead of this race, there were never doubts in Paula's mind."
1351,"Jones medals 'must go if guilty'

World Anti-Doping Agency (WADA) chief Dick Pound says Marion Jones should be stripped of all her medals if found guilty of taking banned substances.

Victor Conte, of Balco Laboratories, claims the American sprinter regularly used drugs to enhance her performance.However, under International Olympic Committee (IOC) rules, athletes can only be stripped of their medals if caught within three years of the event.Jones, who won five medals at the 2000 Olympics, denies using drugs and says she will take legal action over Conte's allegations.Balco Laboratories is the firm at the centre of a wide-reaching investigation into doping in the US.Pound continued: ""If she has indeed taken drugs it is going to be a big disappointment for a lot of people.""If she is found guilty she should be stripped of all her medals and banned for two years,"" said Pound."
1352,"Back under the spotlight of public scrutiny she will attempt to erase the double disappointment of the Athens Olympics, where she failed to finish the marathon and then the 10,000m. BBC Sport examines the challenges facing Radcliffe ahead of the big race. 

Radcliffe's best friend and fellow distance runner Liz Yelling revealed the 30-year-old is already aware she will be exposing herself to more public scrutiny in New York.Sports psychologist Hugh Richards says the 30-year-old must draw on her past achievements to conquer a potential crisis of confidence.Radcliffe tackles marathon tasks

Paula Radcliffe faces arguably the biggest test of her career in the New York City Marathon on Sunday.

""Athletes need to try and stay focused on their internal controls and ignore external questions,"" explains Richards, who has worked with past Olympians.""She's just doing what she wants to do and not thinking about the consequences of it."" 

Radcliffe described her decision to enter the New York marathon as ""impulsive"" but she is certain to have a tick-list of personal goals.""

The question could hit Radcliffe hard after she was unable to complete her last two races in high-profile and emotional circumstances."
1353,"Established in 1981, the Jesse Owens Awards - named in honour of the late Olympic great who won four gold medals at the 1936 Berlin Games - are presented annually to the outstanding US male and female track and field performers.

Gatlin and Hayes win Owen awards

American Olympic stars Justin Gatlin and Joanna Hayes have been named the winners of the 2004 Jesse Owens Awards, USA Track & Field's (USATF) top honour.

Hayes said: ""Knowing some of the great people who have won this award before me and knowing what it represents, I feel a sense accomplishment and pride which lets me know that everything that I have worked for is and always will be worth it.Gatlin, 22, won the closest 100m final in Games history with a career-best time of 9.85 seconds in Athens.He also won bronze in the 200m and silver in the 4x100m relay, becoming the only male athlete to win three athletics medals this summer.The 2004 awards will be presented on 3 December in conjunction with the USATF annual meeting in Portland.Hayes, 27, set an Olympic record of 12.37 in winning the 100m hurdles."
1354,"But it was Radcliffe who managed to dredge up a final sprint to see off Chepkemei in the closest finish in the race's history and in the process make a huge step in erasing the disappointment she suffered in Athens.


The Briton, running for the first time since dropping out of the Olympic marathon and 10,000m, held off Kenyan Susan Chepkemei in a thrilling finish.Radcliffe decided only recently to run in the race and many had doubted whether she had sufficiently recovered from her Olympic ordeal just 11 weeks ago.Paula Radcliffe made a triumphant return to competitive running with victory in the New York Marathon.

The pair were locked together for the last few miles before Radcliffe finally sprinted clear to win in two hours, 23 minutes and 10 seconds.But the world record-holder was prominent at the head of the field for the whole race as her rivals slowly dropped off the pace.The Kenyan put in several bursts of speed to throw off Radcliffe but the Briton managed to hang in."
1355,"""The appointment of David Collins, with his strong mix of leadership skills and managerial experience, is testament to the professional and detailed recruitment process,"" he said.
It was commissioned by UK Sport and Sport England, which wanted UK Athletics to justify funding of more than Â£40m from the Government following the failure to hang on to the 2005 World Championships, which are now being held in Helsinki.He is currently professor of physical education and sport performance at Edinburgh University, where he helps competitors across many sports, including rugby, athletics, judo and football.

He has specialised in helping competitors fulfil their potential through psychology and has worked with the Great Britain women's curling team, who won gold at the 2002 Winter Olympics.Van Commenee dropped out of the selection process to take on the same role with the Dutch Olympic Committee, while Connor's application was rejected after an arduous interview process.Collins will not have day-to-day coaching contact with the athletes, but will be expected to make changes to the system and coaching set-up in order to secure medals at the Beijing Olympics in 2008.Collins has played rugby at regional level, was captain of the Great Britain American Football team, and competed at national level in judo and karate."
1356,"White admits to Balco drugs link

Banned American sprinter Kelli White says she knowingly took steroids given to her by Bay Area Lab Co-Operative (Balco) president Victor Conte.

Conte faces a federal trial next year on charges of distributing steroids and tax evasion, and White said at first he tried to cover up what he was doing.White failed a drugs test after winning the 100m and 200m titles at the 2003 world athletics championships.She was subsequently handed a two-year ban in May this year and has admitted taking the stimulant modafinil.The 27-year-old believes doping is so common in sport she felt compelled to cheat herself if she was to have any chance of winning.White was introduced to Conte through her coach Remy Korchemy, who is also a defendant in the Balco case.White said Conte at first told her the substance was flaxseed oil, only to change his story later."
1357,"The judge said that she may conduct hearings in January into whether federal agents illegally searched the Balco headquarters and wrongfully obtained statements from the company's founder Victor Conte and its vice-president James Valente.Former double world champion Kelli White and Olympic relay star Alvin Harrison have both been banned on the basis of materials discovered during the Balco investigation.Britain's former European 100m champion Dwain Chambers is currently serving a two-year ban after testing positive for THG in an out-of-competition test in 2003.
US district court judge Susan Ilston rejected an attempt by the defence team to have the case dismissed at a pre-trial hearing in San Francisco.Trial date is set for Balco case

A US judge has set a preliminary trial date for the Balco steroid distribution case which has rocked athletics.

The two men - along with personal trainer Greg Anderson and athletics coach Remy Korchemny - were all indicted earlier this year but have pleaded their innocence.And she set a March date for the case of the four men accused of distributing illegal performance-enhancing drugs to elite athletes to be heard."
1358,"Radcliffe eyes hard line on drugs

Paula Radcliffe has called for all athletes found guilty on drugs charges to be treated as criminals.

""This means that often athletes do not know if they are competing on a level playing field, if their hard work and sacrifice is being trumped by an easier scientific route.The marathon world record holder believes more needs to be done to rid athletics of the ""suspicions and innuendoes"" which greet any fast time.""Often, when an athlete puts in a good performance, they are subjected to suspicions and innuendoes instead of praise.""Doping in sport is a criminal offence and should be treated as such,"" the 30-year-old told the Sunday Times.""

Radcliffe's comments come at a time when several American sports stars are under suspicion of steroid use.""Being caught in possession of a performance-enhancing drugs should carry a penalty,"" she added.

"
1359,"But Kenteris has continually protested his innocence - and on Sunday blamed Greek Olympic Committee officials and his former coach Christos Tzekos for failing to inform him of the test.Kenteris denies faking road crash

Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.

""

After a drama which dominated newspaper headlines in Greece as Athens prepared for the start of the Athens Games, Kenteris and Thanou eventually withdrew.Kenteris, a Greek hero after winning gold in the 200m at the 2000 Olympics in Sydney, also confirmed that he was due to light the flame at the Athens opening ceremony.Kenteris, speaking on Greece's Alter Television station, also claimed that he asked to be tested for banned substances in hospital after the crash.Kenteris and fellow sprinter Katerina Thanou are set to learn if they will face criminal charges this week.""I told the hospital, which was an Olympics-accredited hospital, to call the IOC and have me tested on the spot but no-one came."
1360,"The tribunal panel will consist of five members - president Konstantinos Panagopoulos and Panagiotis Dimakos, Haralabos Hrisanthakis, Stilianos Perakis and Ioannis Karmis.Kenteris, the 2000 Olympic 200m champion, and Thanou, the women's 100m silver medallist from the same Games in Sydney, quit the Olympics on 18 August after failing to give samples on the eve of the opening ceremony.

Ioannidis, who is a law lecturer at the University of Buckingham, added: ""One of the important rights and foundations of law and justice - that the accused should be presumed innocent unless proved otherwise - has been tarnished.""Greek pair set for hearing

Kostas Kenteris and Katerina Thanou will fight the provisional two-year bans imposed on them by the IAAF at an independent tribunal this weekend.

""There have been certain breaches in the correct application of the rules on behalf of the sporting authorities and their officials, and these procedural breaches have also violated my client's rights.Kenteris' lawyer Gregory Ioannidis told BBC Sport: ""We refute both charges as unsubstantiated and illogical.In imposing two-year suspensions on the duo on 22 December, the IAAF described their explanations for missing the tests as ""unacceptable""."
1361,"Jones, who is under investigation for steroid use by the US Anti-Doping Agency, has continually denied ever taking illegal substances since being investigated in the Balco scandal, although she praised a zinc supplement Conte marketed.After the ABC television program earlier this month, Jones' lawyer Richard Nicholls said: ""Marion has steadfastly maintained her position throughout: she has never, ever used performance-enhancing drugs.Jones files Conte lawsuit

Marion Jones has filed a lawsuit for defamation against Balco boss Victor Conte following his allegations that he gave her performance-enhancing drugs.

But Davies stressed it would be up to the American authorities to decide whether they will take action against Jones in light of Conte's television interview and the world governing body would monitor the situation closely.""Mr Conte chose to make unsubstantiated allegations on television, while Marion Jones demanded to take and then passed a lie detector examination.

Her lawsuit, filed in the US District Court in San Francisco, said the sprinter had passed a lie detector test and that she ""has never taken banned performance-enhancing drugs"".""Victor Conte is a man facing a 42-count federal indictment, while Marion Jones is one of America's most decorated female athletes."
1362,"IAAF awaits Greek pair's response

Kostas Kenteris and Katerina Thanou are yet to respond to doping charges from the International Association of Athletics Federations (IAAF).

Kenteris and Thanou already face a criminal trial after being charged with avoiding a drug test on the eve of the Athens Olympics and then faking a motorcyle crash.

All athletes must inform their national federations where they are at all times, so they can be available for out-of-competition drugs tests.But Kenteris and Thanou then went on to skip tests in Tel Aviv and Chicago, when they decided to fly back to Greece early.The Greek pair were charged after missing a series of routine drugs tests in Tel Aviv, Chicago and Athens.The IAAF issued an official warning to the trio last year after they were discovered training in Qatar rather than in Crete, where they had said they would be.They will then face a hearing in front of the Greek Federation, which will ultimately determine their fate."
1363,"IAAF to rule on Greek sprint pair

Greek sprinters Kostas Kenteris and Katerina Thanou are expected to find out on Wednesday if they will be banned for missing drugs tests this summer.

The International Association of Athletics Federations (IAAF) council held a conference call on Tuesday and are set to announce their decision.The Greek authorities have also brought criminal charges against the sprinters for avoiding a drugs test and faking an accident.The IAAF sent an official warning to the sprinters and coach Tzekos after they were discovered training in Qatar rather than in Crete, where they had said they would be.Kenteris, 31, won gold in the 200m at the Sydney Olympics in 2000, where Thanou, 29, won silver in the 100m.
But Kenteris and Thanou then went on to skip tests in Tel Aviv and Chicago, when they decided to fly back to Greece early.The sport's ruling body is expected to direct the Greek federation in what action it should take against the sprinters."
1364,"Holmes will make her first track appearance on home soil since winning double Olympic gold in January's Norwich Union International in Glasgow.She added: ""These events are also a great opportunity to thank the British public for the enormous levels of support they have given me from the moment I stepped off that plane from Greece.""She will also run in the Grand Prix in Birmingham in February and may defend her indoor AAA 800m title in Sheffield earlier that month.The Glasgow meeting will see Holmes compete over 1500m in a five-way match against Sweden, France, Russia and Italy.
Holmes starts 2005 with GB events

Kelly Holmes will start 2005 with a series of races in Britain.

""I'm an athlete and I can't wait to get back on the track.""""I am still competitive and still want to win,"" she said."
1365,"Gebrselassie will face Olympic champion Stefano Baldini, world champion Jaouad Gharib, and arch-rival Paul Tergat, the current world record holder.Gebrselassie in London triple bid

Double Olympic 10,000m champion Haile Gebrselassie will race in the London Marathon for the next three years.

""If I didn't think I could win I would not be here,"" said Gebrselassie, who has set world records on 18 occasions in his illustrious career and is keen to add the marathon record to his collection.The Ethiopian legend won Sunday's Almeria half-marathon in Spain on his return from an operation on his Achilles tendon.""It is a coup for us to secure Haile's presence for the next three years and it guarantees a quality race,"" said race director David Bedford.""There are a lot of fantastic runners in the race but I shall be doing my utmost to upset them.He was third in London in 2002 in his first serious attempt at the marathon."
1366,"""

The athletes' lawyer Grigoris Ioanidis said he believed the independent disciplinary committee set up by the Greek Athletics Federation (SEGAS) would find them innocent.Thanou bullish over drugs hearing

Katerina Thanou is confident she and fellow sprinter Kostas Kenteris will not be punished for missing drugs tests before the Athens Olympics.

Thanou, the 2000 Olympic women's 100m silver medallist, and Sydney 200m champion Kenteris were suspended by the IAAF for missing three drugs tests.""Deliberations will start after some additional documents are brought in by Thursday,"" said committee chairman Kostas Panagopoulos.The Greek pair appeared at a hearing on Saturday which will determine whether their provisional bans from athletics' ruling body the IAAF should stand.""We were asked [by the disciplinary committee] all kinds of questions about the night of 12 August,"" said Tzekos.The third was supposed to take place on the eve of the Athens Games last August, but the pair could not be found in the athletes' village."
1367,"Holmes is hit by hamstring injury

Kelly Holmes has been forced out of this weekend's European Indoor Athletics Championships after picking up a hamstring injury during training.

The 34-year-old made a cautious start to the season but looked back to her best when she stormed to the 1,000m title at the Birmingham Grand Prix 10 days ago.After that race and more progress in training, Holmes revealed she had decided to compete at the European Indoors before her plans were wrecked last weekend.Helen Clitheroe now goes to Madrid as the only British competitor in the women's 1500m while there will be no representative in the 800m.
Holmes has now been advised by her coach Margot Jennings not to rush back into training and it is unlikely she will compete again until the summer.""On Saturday night I pulled my hamstring running the last bend on my final 200m of the night,"" said Holmes.The double Olympic champion said: ""I am very disappointed that I have been forced to withdraw."
1368,"Kluft showed impressive early-season form on Tuesday in Stockholm's GE Galan meeting, winning the sprint hurdles, the long jump and the 400m. Sotherton has also displayed promise, with a new high jump personal best in Sheffield at the combined Norwich Union European trials and AAA Championships, and a second place in the long jump behind Jade Johnson.
Kluft impressed by Sotherton form

Olympic heptathlon champion Carolina Kluft was full of admiration for Britain's Kelly Sotherton as the pair prepared to clash in Birmingham.

Both will be in action on Friday in the 60m hurdles and long jump ahead of the European Indoor Championships later this month in Madrid.Sotherton finished third behind the Swede in Athens, and Kluft said: ""I knew about her, she's a great girl.""She looked very good early in the season and was competing really well."""
1369,"US 400m and 200m legend Michael Johnson, a five-time Olympic gold medallist, retired shortly after his 34th birthday as did Britain's double Olympic champion decathlete Daley Thompson.Four months later, Holmes stormed to double Olympic gold and has since been made a Dame, won the BBC Sport Personality of the Year and written a book whilst still finding time to coach aspiring athletes.What now for Kelly Holmes?

Last April, Kelly Holmes spoke to the BBC Sport website about her loneliness, her fight to stay fit and her decision not to contest both the 800m and 1500m at the Olympics.

""

Holmes' drive and determination have always been unquestionable - that is the reason she has battled back from a string of injuries that threatened to see her finish her career empty-handed.""Well, it's a lot easier being the double Olympic champion, being feted by everybody, than training to be at the top in middle distance running,"" points out former Olympian and BBC pundit Steve Cram.There is just one small truth which could gnaw away at Holmes' motivation - the realisation that no matter how hard she trains, nothing she wins now can surpass her achievements in Athens.Holmes' wish could easily be met in Madrid before she goes on to prepare for the outdoor season where there are still scores to be settled, such as a first gold at the World Championships in Helsinki."
1370,"Olympian Tomlinson tried to play catch up with his six jumps but had to settle for a season's best jump of 7.91m. ""I was advised not to jump by my doctor and so I'm pleased to come here and get the qualifying mark,"" said Tomlinson.

, now based at Loughborough, sprinted past front runner Catherine Murphy in the final 100m to steal the women's 400m title.Gardener's performance in Sheffield could have been affected by the news, which he heard before his semi-final, that his European record had been broken Frenchman Ronald Pognon, who will be a real threat at the European Championships, set a new time of 6.45, one-hundreth of a second faster than Gardener's previous mark.The Trafford athlete, who has served a two-year ban after testing positive for anabolic steroids, clinched the title with a championship record 4.25m.

also set a new championship mark in the men's triple jump title in Sheffield.Nathan Douglas continued his steady progress this season as he set a life-time best of 16.76m in second while Jonathan Moore took third.

and

resumed their rivalry in the long jump competition, both achieving the European standard.Gardener battles to narrow win

Jason Gardener fought all the way to the line to narrowly claim the men's 60m title at the Norwich Union Indoor trials and AAAs Championships.

The Northern Ireland athlete went off at a startling pace but had to hold off the challenge of Welshman Jimmy Watkins over the final 200m to win in one minute, 47.96 seconds.The 25-year-old set a new British record for the second time in seven days, clocking 7.96 seconds to finish ahead of rival Diane Allahgreen."
1371,"A couple of other interesting topics to look out for are the citizenship issues surrounding Mark Findlay and Rabah Yusuf.Findlay is a Londoner who has chosen to represent Trinidad and Tobago but has never run for them so he could still compete for Great Britain.Kelly will be up against Carolina Kluft in the pentathlon at the European Championships but she has every chance of a medal on the basis of what we've seen so far.

Phillips Idowu lit up the field events, not only with his hair, but also with his leap of 17.30m, which puts him at the top of the world rankings.In the women's race, Jeanette Kwayke was hoping to run against defending champion Joice Maduaka.Across the board I thought Kelly Sotherton had a great weekend and continued to show she is developing.It was good to see athletes beginning to make steps forward, to see a few new faces and there were lots of personal bests kicking around.

"
